corp_name,stock_code,market,buy_date,buy_price,record_date,sell_date,sell_price,shares,net_pnl,ret_pct,hold_days
랩지노믹스,84650,KOSDAQ,2023-07-24,4915,2023-08-08,2023-08-04,4495,4069,-1747645.673,-8.737295713,11
나라셀라,405920,KOSDAQ,2023-07-25,8585,2023-08-09,2023-08-07,7929,2329,-1566833.12,-7.83515903,13
코미팜,41960,KOSDAQ,2023-07-26,5301,2023-08-18,2023-08-16,5820,3772,1911860.266,9.560079853,21
미래산업,25560,KOSPI,2023-08-03,65456,2023-08-18,2023-08-16,62511,305,-938398.0293,-4.699727163,13
핌스,347770,KOSDAQ,2023-08-04,6163,2023-08-21,2023-08-17,5929,3245,-799847.07,-3.998848493,13
삼기에너지솔루션즈,419050,KOSDAQ,2023-08-17,4677,2023-09-01,2023-08-30,4624,4276,-268183.6646,-1.340794177,13
그린생명과학,114450,KOSDAQ,2023-08-22,2422,2023-09-06,2023-09-04,2490,8257,518384.3684,2.591733453,13
필에너지,378340,KOSDAQ,2023-09-13,31250,2023-10-04,2023-09-27,32200,640,564814.4,2.823648453,14
코난테크놀로지,402030,KOSDAQ,2023-09-21,39097,2023-10-12,2023-10-10,34748,511,-2259960.43,-11.31022804,19
드림씨아이에스,223250,KOSDAQ,2023-09-25,7196,2023-10-11,2023-10-06,5769,2779,-3999895.152,-19.99879215,11
엑셈,205100,KOSDAQ,2023-09-26,2946,2023-10-11,2023-10-06,2785,6788,-1132731.548,-5.663530986,10
콜마홀딩스,24720,KOSPI,2023-10-05,6864,2023-10-20,2023-10-18,6999,2913,350499.0055,1.752685087,13
지앤비에스 에코,382800,KOSDAQ,2023-10-11,7350,2023-10-27,2023-10-25,6500,2721,-2350338.578,-11.75031228,14
에이프릴바이오,397030,KOSDAQ,2023-10-17,11705,2023-11-01,2023-10-30,10329,1708,-2387608.588,-11.9409453,13
얼라인드,238120,KOSDAQ,2023-10-23,4165,2023-11-08,2023-11-06,3930,4801,-1168026.888,-5.840378445,14
이노션,214320,KOSPI,2023-10-25,22375,2023-11-30,2023-11-28,20900,893,-1356566.346,-6.788305776,34
